100,V80,97,0,2023-06-17T12:19:12.439-03:00,1047,14
100,N89,943,3,2023-06-17T12:19:12.442-03:00,1047,14
100,D16,137,1,2023-06-17T12:19:12.441-03:00,1047,14
100,I43,940,2,2023-06-17T12:19:12.443-03:00,1047,14
100,U56,110,1,2023-06-17T12:19:12.440-03:00,1047,14
100,M45,1041,3,2023-06-17T12:19:12.446-03:00,1047,14
100,K36,988,2,2023-06-17T12:19:12.446-03:00,1047,14
100,P82,17,1,2023-06-17T12:19:12.442-03:00,1047,14
100,V80,101,0,2023-06-17T12:19:13.708-03:00,1047,14
100,I43,929,2,2023-06-17T12:19:13.713-03:00,1047,14
100,N89,939,3,2023-06-17T12:19:13.711-03:00,1047,14
100,D16,147,1,2023-06-17T12:19:13.711-03:00,1047,14
100,P82,25,1,2023-06-17T12:19:13.713-03:00,1047,14
100,U56,116,1,2023-06-17T12:19:13.710-03:00,1047,14
100,M45,1035,3,2023-06-17T12:19:13.719-03:00,1047,14
100,X47,886,2,2023-06-17T12:19:13.715-03:00,1047,14
100,K36,979,2,2023-06-17T12:19:13.718-03:00,1047,14
100,U56,125,1,2023-06-17T12:19:15.706-03:00,1047,14
100,D16,159,1,2023-06-17T12:19:15.707-03:00,1047,14
100,I43,920,3,2023-06-17T12:19:15.708-03:00,1047,14
100,V80,105,0,2023-06-17T12:19:15.706-03:00,1047,14
100,N89,935,3,2023-06-17T12:19:15.707-03:00,1047,14
100,M45,1029,3,2023-06-17T12:19:15.712-03:00,1047,14
100,X47,882,2,2023-06-17T12:19:15.710-03:00,1047,14
100,P82,31,1,2023-06-17T12:19:15.708-03:00,1047,14
100,K36,972,2,2023-06-17T12:19:15.710-03:00,1047,14
100,V80,109,0,2023-06-17T12:19:17.003-03:00,1047,14
100,U56,134,1,2023-06-17T12:19:17.003-03:00,1047,14
100,P82,35,1,2023-06-17T12:19:17.006-03:00,1047,14
100,S17,6,0,2023-06-17T12:19:17.007-03:00,1047,14
100,K36,964,2,2023-06-17T12:19:17.005-03:00,1047,14
100,D16,170,1,2023-06-17T12:19:17.004-03:00,1047,14
100,I43,910,3,2023-06-17T12:19:17.004-03:00,1047,14
100,X47,878,2,2023-06-17T12:19:17.005-03:00,1047,14
100,M45,1022,3,2023-06-17T12:19:17.006-03:00,1047,14
100,N89,931,3,2023-06-17T12:19:17.004-03:00,1047,14
100,N89,927,3,2023-06-17T12:19:18.721-03:00,1047,14
100,S17,12,0,2023-06-17T12:19:18.721-03:00,1047,14
100,U56,141,1,2023-06-17T12:19:18.717-03:00,1047,14
